Timestamp,Почему вы решили искать работу за рубежом?,По каким критериям оцениваете предложения работы?,Насколько серьезно настроены на переезд?,На какой стадии ваши поиски?,Какие страны вы рассматриваете в первую очередь?,Куда точно НЕ хотели бы ехать?,Где вы живете сейчас?,Кем вы работаете?,Сколько вам лет?,Семейное положение
8/4/2016 22:21:37,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Великобритания, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Программист,27-29,Пара без детей
8/4/2016 22:22:23,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,"Польша, США, (Западная Европа)","Австралия, Азия, Великобритания",(другая страна),Программист,меньше 23,Пара без детей
8/4/2016 22:25:09,Спокойная и безопасная жизнь для меня и семьи,"Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Великобритания, Новая Зеландия, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Киев,Программист,32 или больше,Пара с детьми
8/4/2016 22:26:17,Спокойная и безопасная жизнь для меня и семьи,Страна,Твердо намерен уехать,Уже уехал,"Канада, Польша, США",Азия,(другая страна),Программист,27-29,Пара с детьми
8/4/2016 22:28:49,Хочется чего-то нового и интересного,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы",Твердо намерен уехать,Прохожу интервью / жду оффер,"Канада, США, (Западная Европа)",Прибалтика,Украина (другой город),Программист,24-26,Пара без детей
8/4/2016 22:29:00,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Германия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),Программист,29-32,Пара с детьми
8/4/2016 22:29:58,Спокойная и безопасная жизнь для меня и семьи,"Страна, Карьерные перспективы, Возможность уехать побыстрее",Твердо намерен уехать,Просматриваю вакансии,"Германия, Канада, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), (Готов ехать куда угодно, если остальные условия устраивают)",Харьков,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 22:32:10,Не вижу перспектив оставаться,"Страна, Количество денег на старте, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,США,"Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),Менеджер,29-32,Пара с детьми
8/4/2016 22:32:10,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Новая Зеландия, США","Азия, Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),(Еще студент),меньше 23,Пара без детей
8/4/2016 22:32:38,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.)",Насколько интересна вакансия (проект/компания) лично для меня,Твердо намерен уехать,Просматриваю вакансии,"Австралия, Канада, США",Евросоюз,Харьков,Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 22:33:43,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 22:34:35,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Уже уехал,"Австралия, Германия, США",,Украина (другой город),Программист,29-32,Пара с детьми
8/4/2016 22:38:50,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,"США, (Евросоюз в целом), (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия",(другая страна),Программист,29-32,Пара с детьми
8/4/2016 22:40:12,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,"Германия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Тимлид или техлид,32 или больше,Пара с детьми
8/4/2016 22:40:32,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Германия, Нидерланды, США","Азия, Прибалтика",(другая страна),Программист,32 или больше,Пара с детьми
8/4/2016 22:41:12,"Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Тимлид или техлид,27-29,Пара без детей
8/4/2016 22:44:18,Не вижу перспектив оставаться,Карьерные перспективы,Твердо намерен уехать,Просматриваю вакансии,США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 22:47:57,Хочется чего-то нового и интересного,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, Нидерланды, США",Азия,Украина (другой город),Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 22:52:45,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Уже уехал,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Австралия, Азия, Прибалтика",(другая страна),Менеджер,24-26,"Холост / не замужем, детей нет"
8/4/2016 22:52:53,Хочется чего-то нового и интересного,Карьерные перспективы,"Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было",США,"Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Программист,23-24,Пара без детей
8/4/2016 22:54:07,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Уже уехал,"Канада, США, (Азия: Сингапур, Таиланд, Китай, и др.)","Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз, Прибалтика",(другая страна),Программист,29-32,"Холост / не замужем, детей нет"
8/4/2016 22:55:06,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,"Документы подал, сижу на чемоданах","Нидерланды, Польша, США",Азия,Украина (другой город),QA,24-26,Пара без детей
8/4/2016 23:00:16,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,(Евросоюз в целом),Австралия,Минск,Программист,29-32,Пара с детьми
8/4/2016 23:00:57,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Люблю США и хочу там жить и работать","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,29-32,"Холост / не замужем, детей нет"
8/4/2016 23:07:00,Спокойная и безопасная жизнь для меня и семьи,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Польша, (Западная Европа), (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия, США",Украина (другой город),(Другое),24-26,Пара с детьми
8/4/2016 23:07:03,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Польша, США, (Евросоюз в целом)",Азия,Киев,Программист,29-32,"Холост / не замужем, детей нет"
8/4/2016 23:11:07,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного","Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Уже уехал,"Польша, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 23:11:30,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Программист,32 или больше,Пара без детей
8/4/2016 23:11:54,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз",Киев,Программист,29-32,Пара с детьми
8/4/2016 23:13:22,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было",США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),Тимлид или техлид,27-29,"Холост / не замужем, детей нет"
8/4/2016 23:13:49,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Уже уехал,"Австралия, Новая Зеландия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Программист,26-27,Пара без детей
8/4/2016 23:14:04,Спокойная и безопасная жизнь для меня и семьи,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Получил оффер, собираю документы","Германия, Нидерланды, Польша",Азия,Львов,Программист,29-32,Пара с детьми
8/4/2016 23:16:16,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,"Получил оффер, собираю документы","Австралия, Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,(Другое),29-32,Пара без детей
8/4/2016 23:20:04,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, Нидерланды, Польша","Австралия, Азия",Украина (другой город),Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 23:21:15,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Насколько интересна вакансия (проект/компания) лично для меня","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Германия, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Харьков,Программист,27-29,Пара с детьми
8/4/2016 23:23:46,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,Канада,"(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),QA,29-32,"Холост / не замужем, детей нет"
8/4/2016 23:25:35,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, Новая Зеландия, США","Великобритания, Евросоюз",Харьков,QA,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 23:26:02,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Прохожу интервью / жду оффер,США,Евросоюз,Киев,Тимлид или техлид,27-29,Пара без детей
8/4/2016 23:26:59,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз",Киев,Тимлид или техлид,23-24,Пара без детей
8/4/2016 23:27:16,Не вижу перспектив оставаться,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, Польша, (Евросоюз в целом)",Азия,Львов,(Другое),26-27,"Холост / не замужем, детей нет"
8/4/2016 23:30:52,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,США,"Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Тимлид или техлид,26-27,"Холост / не замужем, детей нет"
8/4/2016 23:32:14,Хочется чего-то нового и интересного,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Австралия, Канада, Новая Зеландия",Азия,Украина (другой город),QA,27-29,Пара без детей
8/4/2016 23:34:18,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Канада, США, (Евросоюз в целом)",Прибалтика,Харьков,Дизайнер,27-29,"Холост / не замужем, детей нет"
8/4/2016 23:35:33,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Великобритания, Германия, Нидерланды","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",(другая страна),Тимлид или техлид,24-26,Пара без детей
8/4/2016 23:37:35,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, Польша, США",Азия,Киев,(Другое),29-32,Пара с детьми
8/4/2016 23:37:41,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Уже уехал,"Германия, Нидерланды, Польша","(Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Программист,32 или больше,Пара с детьми
8/4/2016 23:38:39,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Канада, США, (Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия",РФ (другой город),Менеджер,меньше 23,Пара без детей
8/4/2016 23:40:04,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Великобритания, Канада, США","Азия, Евросоюз, Прибалтика",(другая страна),Программист,29-32,Пара с детьми
8/4/2016 23:47:06,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, США, (Западная Европа)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,27-29,Пара с детьми
8/4/2016 23:47:46,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Прохожу интервью / жду оффер,"Канада, США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,Менеджер,24-26,Пара без детей
8/4/2016 23:48:51,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,"Получил оффер, собираю документы","Германия, Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Дизайнер,24-26,Пара без детей
8/4/2016 23:54:04,Не вижу перспектив оставаться,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада","Восточная Европа (Польша, Болгария, Венгрия и др.)",Москва,Программист,29-32,Пара с детьми
8/4/2016 23:54:43,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,"Документы подал, сижу на чемоданах","Великобритания, Канада, США","Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Минск,Программист,29-32,Пара с детьми
8/5/2016 0:02:36,"Спокойная и безопасная жизнь для меня и семьи, Получить международный опыт работы","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Германия, (Западная Европа)","Австралия, Канада, США",Харьков,Менеджер,27-29,Пара без детей
8/5/2016 0:05:40,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Уже уехал,Польша,США,(другая страна),Программист,32 или больше,"Холост / не замужем, детей нет"
8/5/2016 0:06:43,Спокойная и безопасная жизнь для меня и семьи,Возможность получения долгосрочной визы / ВНЖ,Твердо намерен уехать,Просматриваю вакансии,"Канада, Новая Зеландия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Харьков,QA,29-32,Пара без детей
8/5/2016 0:10:30,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Нидерланды, Польша, США","Австралия, Прибалтика",Киев,Программист,24-26,"Холост / не замужем, детей нет"
8/5/2016 0:18:17,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,QA,27-29,"Холост / не замужем, детей нет"
8/5/2016 0:19:20,Хочется чего-то нового и интересного,"Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада, США",Азия,Харьков,Тимлид или техлид,27-29,Пара с детьми
8/5/2016 0:22:41,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Уже уехал,"Нидерланды, США","Австралия, Азия",(другая страна),Тимлид или техлид,29-32,Пара с детьми
8/5/2016 0:23:59,Хочется чего-то нового и интересного,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,29-32,Пара с детьми
8/5/2016 0:26:09,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Австралия, Азия",Киев,(Еще студент),меньше 23,"Холост / не замужем, детей нет"
8/5/2016 0:28:08,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Германия, Канада, США","Азия, Великобритания, Прибалтика",(другая страна),Программист,29-32,Пара с детьми
